📺️央视✨阿星▶️,#genre#
河北卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hbws
宁夏卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nxws
甘肃卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gsws
青海卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=qhws
新疆卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xjws
西藏卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzws
兵团卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=btws
农林卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nlws
厦门卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xmws
康巴卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=kbws
延边卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ybws
安多卫视✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=adws

📺️CIPTV✨阿星备2▶️,#genre#
CCTV1✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-1-AVS-4K264.m3u8$4K
CCTV2✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-2-HD-265-8M.m3u8
CCTV3✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-3-AVS-4K264.m3u8$4K
CCTV4✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-4-HD-265-8M.m3u8
CCTV5✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-5-AVS-4K264.m3u8$4K
CCTV5+✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-5PLUS-HD-265-8M.m3u8
CCTV6✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-6-AVS-4K264.m3u8
CCTV7✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-7-HD-265-8M.m3u8
CCTV8✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-8-AVS-4K264.m3u8
CCTV9✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-9-HQ.m3u8
CCTV10✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-10-HD-265-8M.m3u8
CCTV11✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=H265-5500k-1080P-CCTV11.m3u8
CCTV12✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-12-HD-265-8M.m3u8
CCTV13✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-13-HQ.m3u8
CCTV14✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-14-CQ.m3u8
CCTV15✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=H265-5500k-1080P-CCTV15.m3u8
CCTV16✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-16-CQ.m3u8
CCTV16✨阿星,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-16-4K.m3u8$4K
